trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2,
1,2,4,1,0.01618,1814,-0.05894,3.55894,-10.76781,22.71833,22.81524,0,0,-0.00023,-0.00128,-0.01729,505.26547,703.00598,10.01729,528.40472,512.72046,0,0, 
1,2,4,1,0.03309,1822,-0.05126,3.55803,-10.76856,22.72111,22.81449,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.05981,1828,-0.05235,3.55738,-10.77135,22.7226,22.81649,0,0,-0.00123,-0.0017,-0.02594,505.2986,703.01725,10.02594,528.40126,512.74134,0,0, 
1,2,4,1,0.07745,1833,-0.05649,3.55714,-10.77327,22.7227,22.8185,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.08087,1834,-0.05743,3.55717,-10.77362,22.72261,22.81884,0,0,-0.00286,-0.00262,-0.03459,505.35273,703.04138,10.03459,528.40083,512.78092,0,0, 
1,2,4,1,0.08515,1835,-0.05858,3.55728,-10.77397,22.72241,22.81917,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.08927,1836,-0.0593,3.55747,-10.77424,22.72219,22.81928,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.09331,1837,-0.06033,3.55734,-10.77467,22.72226,22.81982,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.09767,1838,-0.06122,3.5574,-10.77507,22.72218,22.82015,0,0,-0.00426,-0.00345,-0.04298,505.3992,703.06323,10.04298,528.4015,512.81597,0,0, 
1,2,4,1,0.10174,1839,-0.06223,3.55752,-10.77549,22.72202,22.82046,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.10585,1840,-0.06336,3.5576,-10.77596,22.7219,22.82086,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.11011,1841,-0.06457,3.55767,-10.77647,22.72178,22.8213,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.11426,1842,-0.06527,3.55765,-10.77713,22.72192,22.82176,0,0,-0.00522,-0.00412,-0.05069,505.43092,703.08104,10.05069,528.40459,512.84266,0,0, 
1,2,4,1,0.11834,1843,-0.06636,3.55786,-10.77774,22.72175,22.8221,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.12263,1844,-0.06731,3.5578,-10.7785,22.72191,22.82269,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.12672,1845,-0.06829,3.55772,-10.77939,22.72214,22.82338,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.13089,1846,-0.06897,3.55798,-10.78017,22.72208,22.82363,0,0,-0.00579,-0.00457,-0.05785,505.44992,703.09283,10.05785,528.40747,512.85972,0,0, 
