trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   1.00000,   6.00000,   1.00000,   0.01603, 2367.00000,  -0.23484,   3.67050, -10.92641,  22.22722,  22.44110,   0.00000,   0.00000,   0.00248,   0.00034,   0.00251, 504.79173, 702.96144,   9.99749, 524.92331, 510.29640,   0.00000,   0.00000, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.03279, 2375.00000,  -0.23831,   3.67041, -10.92755,  22.22701,  22.44249,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.05937, 2381.00000,  -0.24145,   3.67076, -10.92971,  22.22693,  22.44387,   0.00000,   0.00000,   0.00266,   0.00039,   0.00378, 504.78558, 702.96030,   9.99622, 524.92484, 510.29340,   0.00000,   0.00000, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.07682, 2386.00000,  -0.24148,   3.67149, -10.93084,  22.22676,  22.44372,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.08078, 2387.00000,  -0.24123,   3.67151, -10.93100,  22.22688,  22.44371,   0.00000,   0.00000,   0.00324,   0.00112,   0.00405, 504.76615, 702.94103,   9.99595, 524.91545, 510.26904,   0.00000,   0.00000, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.08493, 2388.00000,  -0.24096,   3.67159, -10.93114,  22.22693,  22.44364,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.08920, 2389.00000,  -0.24056,   3.67174, -10.93122,  22.22692,  22.44344,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.09331, 2390.00000,  -0.24003,   3.67172, -10.93137,  22.22712,  22.44340,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.09746, 2391.00000,  -0.23967,   3.67165, -10.93151,  22.22732,  22.44344,   0.00000,   0.00000,   0.00396,   0.00110,   0.00413, 504.74218, 702.94169,   9.99587, 524.92606, 510.26221,   0.00000,   0.00000, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.10169, 2392.00000,  -0.23914,   3.67160, -10.93174,  22.22758,  22.44345,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.10579, 2393.00000,  -0.23851,   3.67140, -10.93213,  22.22807,  22.44365,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.10989, 2394.00000,  -0.23809,   3.67154, -10.93240,  22.22815,  22.44354,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.11422, 2395.00000,  -0.23734,   3.67147, -10.93295,  22.22862,  22.44366,   0.00000,   0.00000,   0.00512,   0.00146,   0.00323, 504.70351, 702.93217,   9.99677, 524.93356, 510.24113,   0.00000,   0.00000, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.11828, 2396.00000,  -0.23678,   3.67144, -10.93333,  22.22894,  22.44372,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.12243, 2397.00000,  -0.23643,   3.67129, -10.93388,  22.22938,  22.44400,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.12663, 2398.00000,  -0.23600,   3.67113, -10.93437,  22.22983,  22.44425,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.13081, 2399.00000,  -0.23567,   3.67106, -10.93489,  22.23019,  22.44446,   0.00000,   0.00000,   0.00699,   0.00153,   0.00207, 504.64125, 702.93036,   9.99793, 524.95793, 510.22006,   0.00000,   0.00000, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.13494, 2400.00000,  -0.23531,   3.67099, -10.93535,  22.23053,  22.44462,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.13920, 2401.00000,  -0.23495,   3.67069, -10.93588,  22.23110,  22.44503,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.14332, 2402.00000,  -0.23493,   3.67057, -10.93627,  22.23137,  22.44529,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.14741, 2403.00000,  -0.23493,   3.67033, -10.93673,  22.23178,  22.44570,   0.00000,   0.00000,   0.00851,   0.00158,   0.00119, 504.59062, 702.92914,   9.99881, 524.97798, 510.20315,   0.00000,   0.00000, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.15165, 2404.00000,  -0.23479,   3.67003, -10.93716,  22.23227,  22.44612,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.15583, 2405.00000,  -0.23482,   3.66979, -10.93744,  22.23259,  22.44645,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.15995, 2406.00000,  -0.23476,   3.66966, -10.93765,  22.23280,  22.44664,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.16418, 2407.00000,  -0.23465,   3.66945, -10.93782,  22.23309,  22.44687,   0.00000,   0.00000,   0.00893,   0.00135,   0.00063, 504.57645, 702.93495,   9.99937, 524.98918, 510.20427,   0.00000,   0.00000, 
  1.00000,   1.00000,   6.00000,   1.00000,   0.16825, 2408.00000,  -0.23474,   3.66900, -10.93786,  22.23348,  22.44730,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
