Participant,fold,uncorrelated
1,1.361512094,1.361193475
1,1.166844682,1.19047632
1,1.261732378,1.142653059
1,1.042564981,1.002585519
1,1.349925882,1.037406964
1,1.249856379,1.400415584
1,1.278324841,1.286711917
1,1.202797436,1.522664462
1,1.374723162,1.118577122
1,1.45070191,1.282504179
1,1.166606321,1.19052862
1,1.202538507,1.162418967
1,1.350565977,1.43844872
1,1.266405932,1.33829423
1,1.0464549,1.222320787
1,0.914276867,1.090285375
1,0.974076735,1.398106747
1,1.458251312,1.258183146
1,1.438236339,1.446150906
1,1.058084681,1.137870037
1,1.293867641,1.389914494
1,1.082107116,1.114127626
1,1.125979917,1.110017017
1,1.369892349,1.34595117
1,1.005768654,0.949872588
1,0.969875063,1.489813245
1,1.237673389,1.365839326
1,0.953687858,1.377714328
1,1.029726915,1.421671183
1,0.993750307,1.025471301
1,1.269663652,1.109566663
1,1.361528724,0.953448773
1,1.213451588,1.013456708
1,0.937617429,1.281501309
1,1.013438028,1.101293951
1,0.977402263,1.289293825
1,0.973377505,1.293283553
1,1.193259294,0.993201698
1,0.989272696,1.077018523
1,1.089143894,1.457079372
1,1.125013431,1.076982723
1,1.129252312,1.34503489
1,1.324991306,1.452924512
1,0.952975212,1.176841827
1,0.996832078,1.196847824
1,1.016871501,1.552764615
1,0.884891412,0.98867025
1,0.960770021,1.504710129
1,1.252682472,1.396608626
1,1.36063445,1.424530606
1,0.932613892,1.108612684
1,1.104695449,0.960361316
1,1.268581958,1.228470263
1,1.256527255,1.128376307
1,1.044434419,1.052352523
1,1.376422505,1.064146138
1,1.364330412,1.676132028
1,0.952218473,1.136210058
1,1.068316263,1.012248563
1,0.456194968,0.952016466
1,1.116213183,1.068101905
1,0.951966312,1.184033462
1,1.18008134,1.483870016
1,0.871965382,1.439802399
1,1.484008954,1.15582475
1,0.968041137,1.063821582
1,1.107829273,1.363785251
1,1.375790795,1.351697834
1,1.459712051,1.187734994
1,1.055705086,0.967673732
1,1.299704722,1.179572861
1,1.031699306,1.303459924
1,0.995617799,1.53143235
1,1.071477486,1.255413771
1,1.267421376,1.379321634
1,0.991463241,1.399331807
1,1.427212254,1.03526259
1,1.119459091,1.543260255
1,1.435113087,1.219159893
1,1.327289227,1.455003264
1,1.075156283,1.434983714
1,0.871182815,0.934927707
1,1.035130957,1.218852152
1,1.3910387,1.022831144
1,1.371065697,1.482675734
1,0.998671479,1.278822736
1,0.922829665,1.234818068
1,1.15880876,1.030706276
1,1.394643489,1.458674026
1,1.406737333,1.190609254
1,1.418739446,1.466568247
1,1.222730796,1.126288939
1,1.218554605,1.226454121
1,1.382574617,1.310361785
1,1.138461698,1.098276088
1,1.238494269,1.438376329
1,1.146398036,1.010274547
1,0.958349954,0.949892308
1,1.45826155,1.026178338
1,1.118290126,1.094068595
2,1.16518651,1.302597349
2,1.492064795,1.132613315
2,1.203040065,1.052538749
2,1.334794977,1.224528838
2,1.137592219,1.443776942
2,1.012890113,1.406987707
2,1.482956187,1.196538461
2,1.286942699,1.168502902
2,0.955030501,1.324345364
2,1.382909451,1.264493048
2,1.210895034,1.476349264
2,0.878821169,1.144346919
2,1.130707128,1.292120381
2,1.214849646,1.192107308
2,1.186538653,1.044195228
2,1.358612223,1.288141601
2,1.450524326,1.083972806
2,1.070519519,0.968159853
2,1.162467635,1.251845664
2,0.846474226,1.415876055
2,1.338340249,0.979845236
2,1.206289174,1.391836978
2,0.94629963,1.211728783
2,0.918212156,1.21580435
2,0.922120822,1.499726251
2,1.214041257,1.095637585
2,1.130039473,1.075542621
2,1.230067133,1.175582745
2,1.265816201,1.003409969
2,1.293949263,1.087467726
2,1.369870575,1.331409365
2,1.42165523,1.00725116
2,1.169529746,1.299336421
2,1.101705544,1.391285833
2,1.081494745,1.347205758
2,1.357596767,1.183104362
2,1.081530813,1.44306444
2,0.933507499,1.023022923
2,1.22549189,1.394890379
2,1.461420699,1.078950892
2,1.001359967,1.290896474
2,0.821321024,0.974801044
2,1.329258152,1.274739454
2,1.269185422,1.414728976
2,1.289053805,1.322694588
2,1.197065423,1.318700008
2,1.024987051,1.042607931
2,1.164946017,1.22266162
2,1.264936904,1.122446605
2,1.036915285,1.526522349
2,0.944869006,1.466424755
2,1.348807757,1.358445323
2,1.032772055,1.594341774
2,1.004784759,1.342257241
2,1.328580989,1.234137566
2,1.100625195,1.542234586
2,1.344589148,1.202101728
2,1.204429552,1.181994018
2,1.128480478,1.434092629
2,1.380450942,1.502061092
2,1.392364256,1.250050974
2,1.036257704,1.181830159
2,0.968137767,1.329837815
2,1.300125272,1.21372637
2,1.1121297,1.009747618
2,1.356101483,1.365730478
2,1.391994325,1.48948577
2,1.052072177,1.645546176
2,1.399922148,1.553539531
2,0.987912079,1.381487412
2,1.119867228,1.369418912
2,1.38787729,1.237389594
2,1.311708514,1.233220408
2,1.059617729,1.325169327
2,1.471512031,1.137286116
2,1.363668056,1.221146482
2,1.207493857,1.577204197
2,1.027538832,1.645084937
2,0.991420831,1.528992558
2,1.211387171,1.396874041
2,1.327334481,1.544935399
2,1.075369129,1.388751127
2,0.90329495,1.520792693
2,1.091116252,0.964765986
2,1.007033391,1.36880577
2,1.051022353,1.068731359
2,1.271018138,1.144679489
2,0.923091851,1.444539808
2,0.974794777,1.48053904
2,1.058775235,1.548486927
2,1.24683599,1.296451541
2,1.130731348,1.140332815
2,1.158747439,1.184370195
2,0.970518586,1.388293919
2,1.174632845,1.992212806
2,1.210598861,1.196187087
2,0.97453252,1.576099049
2,1.266515607,1.252141856
2,0.83838754,1.088021039
2,0.954414118,1.220012801
3,1.54310174,2.198612753
3,1.18126837,1.483658806
3,1.284916094,1.11668461
3,1.328900622,1.264275706
3,1.251665833,1.13210332
3,1.382715377,1.006644446
3,1.340855245,1.132698467
3,1.296866177,1.168851179
3,1.324781115,1.11674404
3,1.056794215,1.00849969
3,0.884703697,1.164544994
3,1.256629216,0.904525872
3,1.148555998,1.156363513
3,1.392472345,1.168424163
3,1.17234862,1.204265599
3,1.056599436,0.952214459
3,1.316404807,0.996271548
3,1.016400669,1.376185092
3,0.844355963,1.0521305
3,0.864211866,0.93618774
3,0.884187268,0.315954909
3,1.088306297,1.023947741
3,1.220097192,0.979995543
3,1.16008579,1.095718489
3,1.036023292,1.275792679
3,1.311973571,1.159729913
3,0.971899454,1.291659531
3,0.823910846,1.42349022
3,1.331860397,1.027575481
3,1.167713487,1.255583639
3,1.075619946,1.347548863
3,1.391734589,1.159605555
3,0.891525158,1.411338378
3,0.935697216,1.047401642
3,1.059583166,0.979313535
3,1.239349067,1.439333139
3,0.955350255,0.971262792
3,0.951371834,0.983194816
3,0.939218308,0.971173456
3,1.319179084,1.367115903
3,1.14722865,1.354894807
3,0.927189834,1.222984213
3,0.875171679,1.04274827
3,1.278950651,1.022993016
3,0.963051148,1.09873098
3,1.295101925,1.022735569
3,1.194961607,1.362739869
3,1.046938712,1.542417234
3,1.282848187,1.602554596
3,1.166869408,1.342573104
3,0.986742814,1.018571123
3,0.822647409,1.30242912
3,0.850672836,1.010469527
3,1.382580433,1.118507186
3,1.178355439,1.010313362
3,0.734447691,1.422394195
3,0.178402377,1.338371224
3,1.078532105,1.390244676
3,0.97827999,1.106146542
3,1.35029368,1.278094545
3,1.066306016,1.530061385
3,1.342068483,1.39805263
3,0.914160476,1.041862857
3,1.046139728,1.365926217
3,1.098052148,1.353780502
3,1.093866179,1.085715666
3,1.201941839,1.097735197
3,0.957860636,1.229817778
3,1.177708259,1.433420417
3,1.117854849,1.341549809
3,0.937669804,0.985519739
3,0.821537128,0.98951602
3,0.849663775,1.145351467
3,1.381646716,1.085369233
3,0.985491106,0.929374662
3,1.461468424,1.405320968
3,0.993360729,1.385218097
3,0.853323561,1.269091794
3,1.17721136,1.281181287
3,1.013207626,1.045103721
3,1.025177685,1.249031259
3,0.853240267,1.397028569
3,1.041085784,1.128834363
3,1.061015127,1.396910193
3,0.90503481,1.264798263
3,0.868874672,1.220813823
3,1.040887052,1.232674053
3,0.996861443,1.396650398
3,1.096717109,1.096601083
3,0.852697076,1.388551562
3,1.168617523,1.104599672
3,0.980583055,1.412482933
3,1.296592942,1.504479503
3,1.252600455,1.484422323
3,1.480527076,1.120237764
3,0.80450758,0.924177093
3,1.216387013,1.112303245
3,0.548364764,1.1801757
3,0.272317611,0.968111174
3,1.180358402,1.420013889
4,2.316819988,1.586060137
4,1.251532562,1.431421271
4,1.24213101,1.447207233
4,0.806299448,1.082935911
4,1.45694862,1.102040656
4,1.268850263,1.320887381
4,1.154449019,1.575190943
4,1.078436665,1.267254844
4,0.850360665,1.206993554
4,0.846394258,1.643188964
4,1.354125293,1.239102221
4,0.990049579,1.555145018
4,0.866124613,1.462922454
4,0.918125559,1.098941364
4,1.377999379,1.47096403
4,0.894028684,1.482784967
4,0.849943984,1.126709572
4,0.645964014,1.154618443
4,0.857794754,1.142593684
4,0.709811853,1.426557397
4,1.753846247,1.534617367
4,1.397642572,1.434539304
4,1.337594086,1.126510442
4,1.069612752,1.234416029
4,1.033609835,1.542410745
4,0.869500594,1.010221023
4,0.969469033,1.486329826
4,1.349260589,1.338163324
4,0.985379566,1.294153208
4,1.293259679,1.058111325
4,1.457178468,1.486072723
4,1.045242053,1.577975611
4,1.025097631,1.166021834
4,1.309074919,1.225877499
4,1.305018633,1.013875476
4,0.932923807,1.233730846
4,0.904996054,1.405921927
4,1.284899664,1.425669322
4,1.080942025,1.261724549
4,0.892767572,1.073684685
4,1.168726716,1.069632722
4,1.26063187,1.193369663
4,0.93664331,1.405455604
4,0.996530427,1.129381712
4,0.960532689,1.509279491
4,0.884424602,1.153246436
4,1.048400589,1.429109473
4,0.95634397,1.465216197
4,0.976303724,1.301275698
4,1.380254559,1.017036949
4,0.976265715,1.581103982
4,0.876187935,1.337059811
4,1.271997221,1.05283232
4,1.156119291,1.016894993
4,0.919933862,0.956769182
4,1.267988726,1.448797344
4,1.031992641,1.140798081
4,1.107815333,1.46461066
4,1.223847946,1.652610262
4,1.147786161,1.024695259
4,1.327801629,1.156486897
4,0.835666391,1.264467006
4,1.047568074,1.092517278
4,0.835616423,0.976353564
4,1.319502327,1.452467683
4,1.04347069,1.088269854
4,1.359465485,1.420252521
4,1.107365525,1.160266074
4,1.311362821,1.244039704
4,1.43530338,1.216081746
4,1.327229585,1.164041834
4,1.211109818,1.479997211
4,1.319066527,1.171876421
4,1.163111219,1.423936285
4,1.32695538,1.019904771
4,1.314997121,1.231925052
4,1.270916359,1.035805485
4,1.354940178,1.487742296
4,1.25477799,1.443635031
4,0.882858036,1.439582857
4,0.958759427,1.515596737
4,1.18669131,1.53545462
4,1.19044808,1.57138962
4,1.122572888,1.047374392
4,1.350469288,1.531295519
4,1.066402967,1.207387882
4,1.326365269,1.147172433
4,1.274443492,1.127248652
4,0.990315721,1.347235734
4,1.130218117,1.239030846
4,1.126120225,1.091013157
4,1.138164481,1.303002825
4,1.102062931,1.218924334
4,1.122093456,1.494878952
4,0.822040747,1.466854324
4,1.08993063,1.374744166
4,0.837866253,1.170804131
4,1.001725499,1.222638763
4,0.877906444,1.258567045
4,1.249714063,1.134536989
5,1.110450654,1.193150798
5,1.235038589,0.999050302
5,1.30809814,0.870909651
5,0.879922226,0.858999943
5,0.842967819,1.198217717
5,0.909825418,1.121681279
5,1.268170301,1.199057213
5,0.808052553,1.003004399
5,0.884071523,1.230997801
5,0.880128424,1.362826828
5,1.075934472,1.254898535
5,0.799869551,0.874751306
5,1.227759515,1.222722717
5,1.087791123,1.354635359
5,1.227876743,1.110681662
5,0.967707726,1.122593195
5,0.971650849,1.094539292
5,1.335716218,1.114464693
5,1.107503168,1.030418098
5,1.199469255,1.378405142
5,1.235387238,1.022364354
5,1.255425131,1.082332655
5,1.107333955,1.078315762
5,1.199375576,1.29822489
5,1.107280046,1.270128328
5,0.919188272,1.402074954
5,0.947285481,1.094122558
5,0.919147045,1.449909178
5,1.339061384,1.061840807
5,1.231124658,1.009912967
5,1.251023728,1.333834071
5,0.854824856,1.369816073
5,0.706763747,1.253761948
5,0.966789339,1.393711382
5,0.810746397,1.421471091
5,0.82255919,1.273485498
5,1.034659173,1.285507303
5,1.054738004,1.417505922
5,1.170583108,1.061478911
5,1.078575139,1.12131611
5,0.866409715,1.029344989
5,0.958456322,0.881296907
5,0.778273897,1.037207094
5,0.894445562,1.289170951
5,1.170302392,1.060966724
5,0.80614427,1.217213083
5,0.922126092,0.949001563
5,0.798078557,0.99295857
5,1.058060591,1.132914304
5,1.118093889,1.472865844
5,0.849952409,1.492790778
5,0.766106425,1.345046259
5,0.897966514,1.172802051
5,1.301836422,1.064746264
5,0.993811751,1.292533654
5,1.02165745,1.232238999
5,1.329687971,1.356478386
5,1.14957896,1.152503743
5,1.289489658,1.444356258
5,0.853528043,1.192259102
5,0.697536686,1.052387444
5,0.989439632,0.99233229
5,0.825418944,1.139354314
5,0.853372302,1.112275183
5,0.665164499,1.036051077
5,1.181225762,1.248052109
5,1.024973952,1.035995098
5,0.837126233,1.439913531
5,1.273151325,1.187971683
5,1.220899615,1.015803861
5,1.024963455,1.339780872
5,1.276864726,1.27973509
5,1.256904601,1.13172906
5,0.900983329,1.391607516
5,1.312776909,1.059562284
5,1.108792497,1.311503948
5,0.840628817,1.235467056
5,1.180640201,1.519454653
5,1.000594887,1.147496577
5,0.740440072,1.127367094
5,1.16058854,1.459253733
5,1.06040894,1.0232488
5,1.008411863,1.05120892
5,1.204315583,1.047186475
5,1.248266296,1.29112604
5,1.036118327,1.135052507
5,0.792095208,0.931057241
5,1.204201914,1.134897399
5,0.936108543,0.946980438
5,1.075902875,0.85481856
5,0.992011154,0.858796335
5,1.251898452,1.198712415
5,0.935760053,0.98662532
5,0.947832091,1.053597385
5,0.927728377,0.930591766
5,1.307742673,0.990345229
5,1.271622727,1.282288705
5,1.355631154,1.429706767
5,1.031640796,1.394561195
5,0.883457259,1.43040711
6,1.332366381,1.467339723
6,1.067209647,1.201842936
6,1.010454881,1.40146441
6,0.878354935,1.133287202
6,0.953257486,1.312768394
6,1.340246096,1.275983695
6,1.114431665,1.385372866
6,1.302423464,1.229488407
6,0.986337651,1.217289129
6,1.1343816,1.413360159
6,1.082093821,1.161228893
6,1.078103046,1.173120529
6,1.49012611,1.393077489
